gene	FF6wks	FF6wks	FF6wks	FMC6wks	FMC6wks	FMC6wks
Obp2b	1	0	1	0	0	0
Obscn	19	11	10	26	15	12
Obsl1	152	224	209	246	208	178
Oc90	5	1	1	0	0	4
Oca2	1	1	0	0	0	0
Ocel1	48	64	34	46	30	52
Ociad1	675	914	708	748	673	598
Ociad2	149	64	58	45	61	36
Ocln	102	198	174	165	122	130
Ocm	2	1	0	4	1	1
Ocrl	496	482	424	685	562	581
Ocstamp	2	2	2	1	0	1
Odam	0	0	2	1	0	1
Odc1	409	472	465	595	388	388
Odf1	0	1	1	0	0	0
Odf2	559	591	435	634	523	562
Odf2l	123	100	88	136	127	129
Odf3	0	1	0	0	0	0
Odf3b	18	24	28	17	30	9
Odf3l1	2	1	1	5	2	0
Odf3l2	0	0	2	2	0	2
Odf4	0	2	2	0	1	0
Ofcc1	3	1	0	3	1	0
Ofd1	191	194	138	223	163	149
Ogdh	1282	1593	1299	1608	1485	1388
Ogdhl	231	200	164	384	288	274
Ogfod1	298	366	239	332	314	288
Ogfod2	41	29	32	39	30	25
Ogfod3	49	81	66	58	48	46
Ogfr	159	187	147	218	205	217
Ogfrl1	447	464	381	391	521	328
Ogg1	27	19	19	19	19	25
Ogn	1083	2092	1804	1278	1418	1181
Ogt	971	1132	825	1138	984	872
Oip5	12	7	5	18	10	2
Oit1	2	0	0	2	0	0
Oit3	3	8	1	6	3	0
Ola1	328	338	291	300	231	272
Olah	3	3	1	4	1	0
Olfm1	1344	516	409	416	410	352
Olfm2	115	50	52	106	92	64
Olfm3	49	48	43	29	77	36
Olfm4	5	8	8	8	5	6
Olfml1	386	463	405	399	330	221
Olfml2a	252	588	475	412	397	416
Olfml2b	45	46	43	88	60	67
Olfml3	284	365	165	219	271	262
Olfr1	2	0	0	2	0	0
Olfr10	1	1	0	1	0	2
Olfr100	0	0	0	0	0	0
Olfr1000	0	1	2	1	0	0
Olfr1002	0	0	1	0	1	0
Olfr1006	0	0	0	0	0	0
Olfr1008	0	0	0	0	0	0
Olfr1009	1	0	1	0	0	1
Olfr101	2	2	0	1	0	0
Olfr1010	0	0	1	0	1	0
Olfr1012	0	0	0	0	0	1
Olfr1013	1	0	0	0	1	0
Olfr1014	0	0	0	1	0	0
Olfr1015	0	0	0	0	0	0
Olfr1016	0	0	2	1	1	0
Olfr1018	2	2	1	0	0	2
Olfr1019	0	1	0	0	1	0
Olfr102	0	0	0	0	0	0
Olfr1020	1	0	0	0	1	0
Olfr1022	0	0	0	0	2	0
Olfr1023	0	0	0	2	0	0
Olfr1024	0	0	0	0	0	0
Olfr1026	2	0	1	0	0	0
Olfr1028	0	0	0	0	0	0
Olfr1029	0	0	0	0	0	0
Olfr103	0	0	0	0	0	0
Olfr1030	0	0	1	1	3	0
Olfr1031	0	0	0	3	1	0
Olfr1032	0	0	0	0	0	0
Olfr1033	33	18	55	54	16	20
Olfr1034	0	1	2	0	2	0
Olfr1036	0	0	0	0	0	0
Olfr1037	1	0	0	0	0	0
Olfr1038-ps	0	0	0	0	0	2
Olfr1039	0	0	0	0	0	0
Olfr1040	0	0	0	1	1	0
Olfr1042	1	0	0	1	0	0
Olfr1043	0	0	0	1	1	1
Olfr1044	0	3	0	2	2	0
Olfr1045	0	0	0	0	0	0
Olfr1046	0	0	0	0	0	0
Olfr1047	1	0	0	2	1	0
Olfr1048	0	2	0	0	1	0
Olfr1049	0	0	0	0	0	0
Olfr1051	0	1	0	0	0	0
Olfr1052	0	0	0	0	0	0
Olfr1053	0	1	0	0	0	0
Olfr1054	0	1	0	1	0	0
Olfr1055	1	0	3	1	0	0
Olfr1056	2	5	0	1	1	1
Olfr1057	0	0	1	0	0	1
Olfr1058	0	0	1	0	0	0
Olfr1061	0	0	0	0	0	0
Olfr1062	1	0	0	0	2	0
Olfr1065	0	0	0	0	0	0
Olfr1066	1	0	0	0	0	0
Olfr107	0	0	0	0	0	0
Olfr1076	1	0	0	0	0	0
Olfr1077-ps1	0	0	0	0	0	0
Olfr1079	0	3	0	1	1	2
Olfr108	0	0	0	0	0	0
Olfr1080	0	0	0	0	0	0
Olfr1082	0	0	0	0	0	0
Olfr1084	0	0	0	0	0	0
Olfr1085	0	0	0	2	0	1
Olfr1086	1	3	0	0	1	2
Olfr1087	0	0	1	0	0	0
Olfr1089	0	0	0	0	0	0
Olfr109	1	0	2	0	0	0
Olfr1090	0	1	0	0	0	0
Olfr1093	1	2	2	1	0	1
Olfr1094	0	0	0	0	0	0
Olfr1095	0	0	0	0	0	0
Olfr1097	0	1	0	0	0	0
Olfr1098	0	1	0	0	1	0
Olfr1099	0	0	1	0	0	0
Olfr11	1	0	0	0	0	0
Olfr110	0	3	1	0	0	1
Olfr1100	0	0	0	0	0	0
Olfr1101	0	0	0	0	0	0
Olfr1102	0	0	0	0	0	2
Olfr1104	0	1	0	0	0	0
Olfr1105	0	0	0	0	0	0
Olfr1106	0	0	0	0	0	0
Olfr1107	0	0	0	0	0	0
Olfr1109	0	0	0	0	1	0
Olfr111	3	3	3	3	2	1
Olfr1110	0	0	0	0	0	0
Olfr1111	0	0	0	0	0	0
Olfr1112	1	0	0	0	0	0
Olfr1113	1	1	0	0	0	0
Olfr1115	0	0	0	3	0	0
Olfr1116-ps	0	0	0	0	0	2
Olfr1118	1	0	0	0	0	0
Olfr112	0	0	0	1	0	0
Olfr1120	2	1	0	1	0	0
Olfr1121	0	0	0	1	0	0
Olfr1122	0	0	0	0	0	0
Olfr1123	0	0	0	0	0	0
Olfr1124	1	0	0	0	0	0
Olfr1126	0	0	0	0	0	2
Olfr1128	1	1	0	0	1	0
Olfr1129	0	0	0	0	0	1
Olfr113	0	0	0	0	0	0
Olfr1130	0	3	0	1	0	2
Olfr1131	2	0	0	1	0	0
Olfr1132	0	1	1	2	2	1
Olfr1133	0	0	0	0	0	0
Olfr1134	2	1	0	0	0	0
Olfr1135	0	3	1	0	0	0
Olfr1136	2	0	0	1	1	0
Olfr1137	0	0	0	0	0	0
Olfr1138	1	0	0	1	0	2
Olfr114	0	0	1	1	0	0
Olfr1140	0	0	1	1	0	0
Olfr1141	0	0	0	0	0	0
Olfr1143	2	0	0	1	0	1
Olfr1145	0	0	0	0	0	0
Olfr1148	0	0	0	0	0	0
Olfr115	0	0	1	0	0	0
Olfr1151	0	1	0	0	0	0
Olfr1152	0	0	0	0	0	0
Olfr1153	3	0	0	0	0	1
Olfr1154	2	0	0	1	1	0
Olfr1155	1	0	0	1	0	0
Olfr1156	0	1	2	0	0	0
Olfr1157	1	2	0	0	0	0
Olfr1158	0	0	0	0	0	1
Olfr116	1	0	0	0	0	0
Olfr1160	0	0	0	0	1	0
Olfr1161	0	0	0	0	0	2
Olfr1162	0	0	0	0	0	0
Olfr1163	0	0	0	0	0	0
Olfr1164	1	0	0	0	1	1
Olfr1166	2	0	0	2	0	0
Olfr1167	0	0	0	1	0	1
Olfr1168	1	2	1	0	0	0
Olfr117	0	2	0	1	0	0
Olfr1170	0	0	0	0	0	0
Olfr1173	0	0	0	0	0	0
Olfr1176	0	0	0	1	0	0
Olfr1178	2	0	0	1	0	0
Olfr1179	1	0	0	1	0	0
Olfr118	0	0	0	0	0	0
Olfr1180	0	0	0	0	0	0
Olfr1181	0	2	0	0	0	0
Olfr1182	0	0	0	0	0	0
Olfr1183	2	0	3	0	1	1
Olfr1184	0	1	0	0	1	1
Olfr1186	0	1	1	1	0	0
Olfr1188	0	0	0	1	1	0
Olfr1189	0	1	0	0	0	0
Olfr119	0	0	0	0	0	0
Olfr1193	2	0	0	0	1	0
Olfr1195	0	0	1	0	0	0
Olfr1196	0	0	0	1	0	0
Olfr1197	0	0	0	0	0	0
Olfr1198	0	0	0	0	1	0
Olfr1199	0	0	0	1	0	0
Olfr12	1	0	0	0	0	1
Olfr120	1	1	0	1	1	0
Olfr1200	0	0	0	0	0	0
Olfr1201	0	0	1	1	1	0
Olfr1202	0	0	0	0	0	0
Olfr1204	0	0	0	0	0	0
Olfr1205	0	0	0	0	0	0
Olfr1206	0	0	0	0	0	0
Olfr1208	0	0	1	0	0	0
Olfr1209	0	0	0	2	0	1
Olfr121	0	0	0	1	0	1
Olfr1211	0	0	0	0	0	0
Olfr1212	0	1	0	0	0	0
Olfr1213	1	0	0	0	1	2
Olfr1214	3	1	1	0	0	0
Olfr1215	0	0	0	0	0	0
Olfr1216	2	0	0	0	0	0
Olfr1217	0	2	0	3	1	2
Olfr1218	0	0	0	1	0	1
Olfr1219	0	0	0	1	0	0
Olfr122	0	0	1	0	1	1
Olfr1220	0	0	1	1	2	1
Olfr1221	0	0	0	0	1	0
Olfr1222	1	0	0	0	0	0
Olfr1223	0	2	0	2	3	2
Olfr1225	0	0	1	2	1	0
Olfr1226	0	1	2	0	1	3
Olfr1228	1	0	0	0	0	0
Olfr1229	0	0	0	0	0	1
Olfr123	0	0	0	0	0	0
Olfr1230	0	0	0	0	0	0
Olfr1231	0	0	1	1	0	0
Olfr1232	2	0	0	0	0	0
Olfr1233	1	1	0	0	0	0
Olfr1234	0	0	0	0	0	2
Olfr1238	1	0	0	0	0	0
Olfr1239	0	0	0	0	0	0
Olfr124	0	0	0	0	0	0
Olfr1240	0	0	0	0	0	0
Olfr1241	1	0	1	0	0	1
Olfr1242	0	2	1	0	1	0
Olfr1243	2	0	0	1	0	0
Olfr1245	0	0	0	1	0	0
Olfr1246	0	0	0	0	0	0
Olfr1247	1	0	0	0	0	0
Olfr1248	0	0	0	0	0	0
Olfr1249	0	0	0	0	0	0
Olfr125	0	0	0	1	2	1
Olfr1250	0	1	0	1	0	0
Olfr1251	0	0	2	0	0	1
Olfr1252	0	0	0	1	0	0
Olfr1253	0	0	0	0	0	0
Olfr1254	1	0	0	2	0	0
Olfr1255	0	1	0	0	0	0
Olfr1256	0	0	0	0	0	0
Olfr1257	0	0	1	0	0	0
Olfr1258	0	0	0	1	0	0
Olfr1259	0	0	0	0	0	0
Olfr126	0	1	0	1	0	0
Olfr1260	0	0	1	0	0	0
Olfr1261	0	0	0	2	0	0
Olfr1262	0	0	0	0	0	0
Olfr1263	0	0	0	0	0	0
Olfr1264	0	0	2	0	0	0
Olfr1265	0	0	0	0	0	0
Olfr1269	0	1	0	0	0	0
Olfr127	0	0	1	0	1	1
Olfr1270	1	0	0	0	0	1
Olfr1271	1	2	0	0	0	0
Olfr1272	3	2	2	2	0	0
Olfr1273-ps	4	1	2	0	1	2
Olfr1274-ps	2	0	0	1	0	0
Olfr1275	0	0	0	0	0	0
Olfr1276	0	0	3	3	1	0
Olfr1277	0	0	0	0	0	0
Olfr1278	0	0	0	0	0	0
Olfr1279	0	1	0	0	0	0
Olfr128	0	0	0	0	0	0
Olfr1280	0	0	0	0	0	0
Olfr1281	0	0	0	0	0	0
Olfr1282	1	0	0	0	0	0
Olfr1283	0	0	1	0	0	1
Olfr1284	0	0	0	0	0	0
Olfr1286	0	0	0	0	0	0
Olfr1287	0	2	0	0	0	0
Olfr1288	0	0	0	0	0	0
Olfr1289	0	0	1	1	0	0
Olfr129	0	0	0	0	1	1
Olfr1290	0	0	0	0	0	0
Olfr1294	0	0	0	0	0	0
Olfr1295	0	0	0	0	0	0
Olfr1297	0	2	0	0	0	0
Olfr1298	0	1	0	0	0	0
Olfr1299	0	0	0	0	0	0
Olfr13	0	1	0	1	0	0
Olfr130	1	0	0	0	1	0
Olfr1300-ps1	0	3	2	6	0	0
Olfr1301	0	0	1	1	0	1
Olfr1302	0	0	0	0	0	0
Olfr1303	1	0	0	0	4	0
Olfr1305	0	0	0	0	1	0
Olfr1306	0	0	0	0	0	0
Olfr1307	0	0	0	2	0	1
Olfr1308	0	0	0	0	0	0
Olfr1309	0	0	2	0	2	0
Olfr131	0	0	0	0	0	1
Olfr1310	2	1	1	0	0	0
Olfr1311	1	2	0	1	1	0
Olfr1312	0	3	0	1	0	1
Olfr1313	1	0	1	0	0	1
Olfr1314	0	0	0	0	1	0
Olfr1316	0	2	2	1	0	0
Olfr1317	0	0	0	0	0	1
Olfr1318	0	0	0	0	0	0
Olfr132	0	0	0	0	2	0
Olfr1320	0	0	0	0	0	0
Olfr1321	0	0	0	0	0	0
Olfr1322	0	0	0	0	0	0
Olfr1323	0	0	0	0	0	0
Olfr1324	0	0	0	0	1	1
Olfr1325	0	0	0	1	0	0
Olfr1328	0	0	0	0	0	0
Olfr1329	0	1	0	0	0	0
Olfr133	0	0	1	0	0	0
Olfr1330	0	0	0	0	3	3
Olfr1331	0	0	0	0	0	0
Olfr1333	1	1	0	0	0	4
Olfr1335	1	1	0	1	0	0
Olfr1336	0	0	0	0	2	0
Olfr1337	1	1	0	0	1	0
Olfr1338	0	0	0	0	0	1
Olfr1339	0	1	0	1	0	0
Olfr134	2	2	1	1	0	0
Olfr1340	0	0	0	0	0	1
Olfr1341	0	0	0	0	0	1
Olfr1342	0	5	1	0	0	0
Olfr1344	0	0	0	0	1	0
Olfr1346	0	0	1	0	0	0
Olfr1347	0	0	0	0	0	0
Olfr1348	0	0	0	0	0	0
Olfr1349	0	0	0	0	1	0
Olfr135	0	0	0	1	1	0
Olfr1350	0	0	0	0	1	0
Olfr1351	0	0	0	1	0	0
Olfr1352	0	0	0	0	0	0
Olfr1353	2	1	3	5	1	1
Olfr1354	0	0	0	0	0	0
Olfr1355	0	1	0	0	0	0
Olfr1356	0	0	0	0	0	0
Olfr1357	3	0	1	1	1	0
Olfr1359	0	0	0	0	0	0
Olfr136	0	0	0	0	0	2
Olfr1360	0	0	0	0	0	0
Olfr1361	0	1	0	0	1	0
Olfr1362	0	1	0	0	0	0
Olfr1364	0	1	0	0	0	0
Olfr1366	0	0	0	0	0	0
Olfr1367	0	0	0	0	0	0
Olfr1368	0	0	0	0	0	0
Olfr137	1	0	0	0	0	0
Olfr1370	2	1	0	1	0	0
Olfr1371	0	0	0	0	0	0
Olfr1372-ps1	11	23	7	20	13	20
Olfr1373	0	0	3	0	0	0
Olfr1377	1	1	1	0	1	0
Olfr1378	1	0	1	0	0	0
Olfr138	0	0	0	0	0	1
Olfr1380	0	0	1	0	0	0
Olfr1381	1	0	0	0	0	1
Olfr1382	1	0	0	1	0	0
Olfr1383	1	1	0	0	0	0
Olfr1384	0	1	0	0	0	0
Olfr1385	1	0	0	1	0	0
Olfr1386	2	1	0	1	0	2
Olfr1387	0	2	0	0	2	1
Olfr1388	2	0	0	2	0	0
Olfr1389	0	0	0	1	0	0
Olfr139	1	0	0	0	1	0
Olfr1390	1	0	1	0	1	0
Olfr1391	2	1	2	1	0	3
Olfr1392	2	0	1	1	1	0
Olfr1393	1	1	0	0	0	0
Olfr1394	0	0	1	0	0	0
Olfr1395	1	0	1	0	0	0
Olfr1396	0	0	1	0	1	0
Olfr140	0	0	2	0	1	0
Olfr1402	1	1	0	0	0	1
Olfr1404	1	0	0	1	0	0
Olfr1406	0	0	1	0	0	0
Olfr1408	0	0	1	0	0	0
Olfr141	0	0	0	0	0	0
Olfr1410	0	0	0	0	0	0
Olfr1411	0	0	2	0	1	0
Olfr1412	1	0	0	0	0	0
Olfr1413	0	0	1	1	0	0
Olfr1414	1	7	0	3	1	0
Olfr1415	1	0	0	0	1	0
Olfr1416	0	3	0	0	2	1
Olfr1417	3	8	6	9	12	4
Olfr1418	0	1	2	3	0	0
Olfr1419	1	0	0	0	0	0
Olfr142	1	0	0	2	0	0
Olfr1420	4	2	1	1	0	2
Olfr1423	1	0	0	1	1	1
Olfr1424	0	0	0	0	0	0
Olfr1425	0	0	0	0	0	0
Olfr1426	2	0	0	2	1	1
Olfr1427	1	1	0	3	0	0
Olfr1428	0	0	1	0	0	0
Olfr143	2	0	1	0	0	0
Olfr1431	0	0	0	0	0	0
Olfr1433	0	0	0	0	0	0
Olfr1434	0	0	0	0	0	0
Olfr1436	0	0	0	0	0	0
Olfr1437	0	0	0	0	0	0
Olfr1440	0	0	0	1	1	1
Olfr1441	1	2	2	1	1	0
Olfr1442	0	0	2	0	1	0
Olfr1443	1	2	0	0	0	1
Olfr1444	0	1	0	1	0	1
Olfr1445	2	3	0	0	0	0
Olfr1446	0	0	0	1	0	0
Olfr1447	0	0	0	0	0	0
Olfr1448	1	0	0	1	1	0
Olfr1449	0	1	0	0	2	0
Olfr145	3	0	0	0	0	0
Olfr1450	2	2	0	0	1	3
Olfr1451	1	0	0	0	0	0
Olfr1453	0	0	0	0	1	1
Olfr1454	0	0	0	0	0	0
Olfr1457	0	0	0	0	0	1
Olfr1459	0	0	0	0	0	0
Olfr146	1	0	0	0	0	0
Olfr1461	0	0	0	0	0	0
Olfr1462	0	0	0	0	1	0
Olfr1463	1	0	0	0	0	1
Olfr1465	2	1	1	0	0	0
Olfr1466	0	0	0	0	0	0
Olfr1467	0	0	0	0	0	0
Olfr1469	0	1	1	0	0	1
Olfr147	1	1	0	0	2	0
Olfr1471	0	0	0	2	0	0
Olfr1472	0	0	0	0	1	0
Olfr1474	0	1	0	0	0	1
Olfr1475	0	0	0	0	0	0
Olfr1477	0	0	1	0	0	1
Olfr148	0	0	0	1	0	0
Olfr1480	0	0	0	0	1	0
Olfr1484	1	1	0	0	3	0
Olfr1487	0	0	0	3	0	0
Olfr1489	3	0	0	0	0	0
Olfr149	0	0	2	3	1	0
Olfr1490	1	0	1	0	0	2
Olfr1491	0	1	0	1	1	3
Olfr1494	1	1	1	1	1	0
Olfr1495	1	0	0	0	0	0
Olfr1496	0	0	0	4	0	0
Olfr1497	0	0	1	2	0	0
Olfr1499	0	1	0	0	0	0
Olfr15	0	0	0	4	0	0
Olfr150	3	3	2	0	1	1
Olfr1500	3	1	0	0	0	0
Olfr1501	0	0	0	1	0	0
Olfr1502	2	0	3	0	0	0
Olfr1504	0	0	0	1	0	0
Olfr1505	0	0	0	0	1	0
Olfr1506	0	0	0	0	0	0
Olfr1507	1	8	0	2	1	2
Olfr1508	0	0	0	1	3	4
Olfr1509	1	5	0	2	0	4
Olfr151	0	1	0	0	0	0
Olfr1510	5	0	0	4	4	3
Olfr1511	3	3	1	3	3	1
Olfr1512	5	1	5	7	8	3
Olfr1513	0	3	1	4	6	6
Olfr152	0	0	1	1	1	0
Olfr153	0	1	0	0	0	0
Olfr1532-ps1	0	0	0	0	0	0
Olfr1535	1	0	0	1	0	1
Olfr1537	0	0	0	0	0	1
Olfr154	0	0	1	1	0	0
Olfr155	0	0	3	3	0	0
Olfr156	0	0	0	0	1	1
Olfr157	0	0	0	1	0	2
Olfr159	0	0	0	1	0	0
Olfr16	0	0	0	1	0	0
Olfr160	0	0	0	0	1	1
Olfr161	0	2	1	0	0	0
Olfr164	0	2	0	2	0	2
Olfr165	0	0	0	0	0	2
Olfr166	0	0	0	0	1	0
Olfr167	2	2	1	2	1	1
Olfr168	0	0	0	0	0	0
Olfr169	1	0	0	0	0	0
Olfr17	0	0	1	0	0	1
Olfr170	0	0	0	0	0	0
Olfr171	0	0	0	0	0	0
Olfr172	0	0	1	1	0	1
Olfr173	0	2	0	0	0	0
Olfr175-ps1	2	0	0	1	0	2
Olfr176	0	0	0	0	0	0
Olfr177	0	0	0	0	0	0
Olfr178	0	0	0	1	0	1
Olfr179	3	1	0	0	0	0
Olfr18	0	0	1	0	0	0
Olfr180	0	0	0	0	0	0
Olfr181	0	1	0	2	0	0
Olfr183	0	0	0	0	0	0
Olfr186	2	3	0	3	0	0
Olfr187	0	0	0	0	0	0
Olfr19	0	0	0	0	0	1
Olfr190	0	0	1	0	0	0
Olfr191	0	0	0	0	0	0
Olfr192	0	0	0	0	0	0
Olfr193	0	0	0	0	0	0
Olfr194	0	0	0	0	0	0
Olfr195	0	0	0	0	0	0
Olfr196	0	0	0	0	0	0
Olfr197	0	0	0	0	0	0
Olfr198	0	0	0	0	0	0
Olfr199	0	0	0	0	0	1
Olfr2	0	0	0	0	0	0
Olfr20	1	0	0	0	0	1
Olfr201	0	0	0	0	3	1
Olfr202	0	0	0	2	2	0
Olfr203	0	0	0	0	0	0
Olfr204	0	0	2	0	0	3
Olfr205	0	0	0	0	0	2
Olfr206	1	0	1	0	0	0
Olfr207	0	0	0	0	0	0
Olfr208	0	0	0	0	0	0
Olfr209	0	0	0	0	0	0
Olfr211	0	0	0	0	0	0
Olfr212	2	0	0	0	0	3
Olfr213	0	0	0	0	0	0
Olfr214	1	0	0	3	1	0
Olfr215	0	0	0	0	0	0
Olfr218	0	0	0	0	0	2
Olfr220	2	4	0	0	0	1
Olfr221	2	1	0	0	0	0
Olfr222	0	0	1	0	0	0
Olfr223	0	0	0	0	0	0
Olfr224	0	0	0	0	0	0
Olfr225	0	5	1	0	1	0
Olfr228	0	0	0	0	0	0
Olfr229	1	0	0	0	0	0
Olfr23	2	1	1	0	0	1
Olfr231	0	0	0	0	0	0
Olfr235	0	0	2	0	0	0
Olfr237-ps1	0	0	0	0	0	0
Olfr239	3	0	0	0	1	0
Olfr24	0	0	0	0	0	1
Olfr242	0	0	0	0	0	0
Olfr243	0	0	0	0	0	0
Olfr247	0	0	0	0	0	0
Olfr248	1	1	0	2	0	1
Olfr25	0	0	0	0	0	0
Olfr250	0	0	0	0	0	0
Olfr251	0	0	0	0	0	0
Olfr257	0	0	0	0	0	0
Olfr259	0	1	0	0	1	0
Olfr26	0	0	0	0	0	0
Olfr262	0	0	1	1	0	1
Olfr263	0	0	0	0	1	0
Olfr266	1	0	1	0	0	0
Olfr267	0	4	0	4	0	0
Olfr27	0	0	0	0	0	0
Olfr270	0	0	0	0	0	0
Olfr272	1	0	0	0	0	0
Olfr273	2	0	0	0	0	2
Olfr275	0	0	0	0	0	0
Olfr279	0	1	0	0	0	0
Olfr281	0	0	0	0	0	1
Olfr282	0	0	0	0	0	0
Olfr283	0	0	0	0	0	1
Olfr284	1	0	0	0	0	0
Olfr285	0	0	0	0	0	0
Olfr286	0	0	0	0	1	0
Olfr287	17	18	10	46	25	31
Olfr288	2	2	1	0	1	3
Olfr29-ps1	0	1	0	0	0	1
Olfr290	3	0	3	2	0	0
Olfr291	0	2	0	0	0	0
Olfr292	0	0	2	1	0	0
Olfr293	0	0	0	0	1	0
Olfr294	1	0	0	1	0	0
Olfr295	1	0	1	0	0	0
Olfr297	0	1	0	5	0	0
Olfr298	0	0	0	1	0	0
Olfr299	1	0	1	0	0	1
Olfr3	0	0	0	0	0	0
Olfr30	0	0	0	0	0	1
Olfr301	0	0	1	0	0	0
Olfr303	0	0	0	0	0	0
Olfr304	0	0	0	1	0	0
Olfr305	0	0	0	0	0	0
Olfr307	1	0	0	0	1	2
Olfr308	0	0	0	1	1	0
Olfr309	0	0	0	0	0	0
Olfr31	3	0	0	0	1	1
Olfr310	1	1	0	2	1	0
Olfr311	0	0	0	0	2	0
Olfr312	0	1	1	0	0	0
Olfr313	0	0	0	0	1	0
Olfr314	0	0	0	1	0	0
Olfr315	1	0	1	0	0	0
Olfr316	1	0	0	0	1	0
Olfr317	1	0	0	0	0	0
Olfr318	0	1	0	0	0	0
Olfr319	0	0	0	0	0	0
Olfr32	2	0	0	0	0	1
Olfr320	0	0	0	0	0	0
Olfr323	0	0	2	0	0	2
Olfr324	0	1	0	3	0	0
Olfr325	0	0	0	0	0	0
Olfr328	2	0	0	0	0	0
Olfr329-ps	2	0	0	0	0	0
Olfr33	0	0	1	0	0	0
Olfr330	2	0	0	2	0	0
Olfr331	0	0	0	0	0	0
Olfr332	2	1	4	3	0	0
Olfr338	2	0	0	0	1	0
Olfr339	0	2	0	0	1	0
Olfr340	2	0	0	0	1	0
Olfr341	0	0	0	0	0	1
Olfr342	0	0	0	1	1	0
Olfr344	0	1	0	0	0	0
Olfr345	0	0	1	2	0	0
Olfr346	1	1	0	0	2	1
Olfr347	1	0	0	0	0	1
Olfr348	0	0	1	2	0	1
Olfr350	2	0	1	0	2	1
Olfr351	0	0	0	0	0	0
Olfr352	0	0	1	2	2	1
Olfr353	0	7	0	0	0	0
Olfr354	1	0	0	0	0	0
Olfr355	0	0	0	0	0	0
Olfr356	1	0	1	0	0	0
Olfr357	2	1	0	2	0	0
Olfr358	0	3	0	0	2	0
Olfr360	1	1	0	0	0	1
Olfr361	1	0	0	0	1	0
Olfr362	0	0	0	0	1	0
Olfr365	1	0	0	0	0	1
Olfr366	0	3	0	4	0	0
Olfr367-ps	0	0	2	0	0	1
Olfr368	1	0	0	1	0	0
Olfr370	1	3	0	3	5	0
Olfr371	0	0	0	0	0	0
Olfr372	0	0	1	0	1	0
Olfr373	0	1	0	0	0	0
Olfr374	0	0	0	0	1	0
Olfr376	0	0	1	1	1	0
Olfr378	2	0	0	0	0	0
Olfr38	0	0	0	0	0	0
Olfr380	0	0	0	1	0	0
Olfr381	1	0	0	1	0	1
Olfr382	0	0	0	0	1	0
Olfr384	0	0	0	0	0	0
Olfr385	1	0	0	0	0	0
Olfr389	0	0	0	1	0	0
Olfr39	2	0	0	1	0	0
Olfr390	0	0	0	0	0	0
Olfr391-ps	0	0	0	0	1	0
Olfr392	2	0	1	0	0	0
Olfr393	0	0	0	0	0	0
Olfr394	0	0	0	0	0	0
Olfr395	1	1	0	0	1	0
Olfr397	3	0	0	1	0	0
Olfr398	1	0	0	0	0	0
Olfr399	0	0	0	2	0	0
Olfr401	1	0	0	1	0	0
Olfr402	0	0	1	4	2	0
Olfr403	0	0	0	0	0	0
Olfr406	1	0	6	0	0	3
Olfr410	0	0	0	0	0	1
Olfr411	0	1	0	1	0	0
Olfr412	0	0	0	0	1	0
Olfr414	0	1	0	0	1	0
Olfr417	0	0	0	3	1	0
Olfr418-ps1	0	0	0	1	0	0
Olfr419	1	0	0	0	0	0
Olfr420	0	0	0	0	0	0
Olfr421-ps1	5	0	0	0	0	0
Olfr424	0	0	0	0	0	0
Olfr426	0	0	0	0	0	0
Olfr427	0	0	0	0	0	0
Olfr429	1	0	0	0	0	0
Olfr43	0	0	0	0	0	1
Olfr430	0	1	0	3	0	0
Olfr432	2	6	0	4	0	2
Olfr433	0	3	0	1	0	0
Olfr434	1	1	3	1	2	0
Olfr435	1	0	0	1	1	0
Olfr437	1	0	0	0	1	0
Olfr44	2	0	2	0	0	0
Olfr441	0	0	1	1	0	1
Olfr444	3	0	0	0	0	0
Olfr446	0	0	0	1	1	0
Olfr447	0	0	0	1	0	3
Olfr448	0	1	0	1	1	0
Olfr449	2	1	0	0	1	0
Olfr45	0	0	0	1	0	0
Olfr450	0	0	0	0	0	0
Olfr452	0	0	0	0	0	0
Olfr453	0	1	0	0	0	0
Olfr455	0	0	0	3	0	0
Olfr456	1	5	0	0	0	2
Olfr457	1	1	2	1	0	2
Olfr458	4	0	2	2	1	0
Olfr459	0	0	0	3	0	0
Olfr46	0	0	0	0	0	0
Olfr460	0	0	0	1	2	1
Olfr461	2	6	1	5	8	5
Olfr462	0	0	0	0	0	0
Olfr463	0	1	0	0	0	0
Olfr464	1	0	1	0	0	2
Olfr466	0	1	0	0	0	0
Olfr467	0	0	0	1	0	0
Olfr469	0	0	0	3	0	0
Olfr47	2	3	2	0	2	0
Olfr470	0	0	0	2	0	0
Olfr472	1	3	0	0	0	0
Olfr473	0	0	0	0	0	1
Olfr474	0	0	0	0	0	0
Olfr476	0	1	0	1	1	0
Olfr477	0	1	0	0	0	0
Olfr478	0	0	0	0	0	0
Olfr479	1	1	0	2	0	0
Olfr48	0	0	0	0	0	0
Olfr480	0	0	0	0	0	0
Olfr481	0	0	0	0	1	1
Olfr482	0	0	0	0	0	0
Olfr483	3	0	0	0	1	1
Olfr484	0	0	0	0	0	3
Olfr485	2	1	0	0	1	0
Olfr486	1	1	1	0	1	0
Olfr487	0	0	2	0	2	2
Olfr488	0	0	0	0	0	2
Olfr49	0	1	0	0	1	0
Olfr490	1	0	0	0	0	0
Olfr491	0	0	0	0	0	0
Olfr492	0	0	0	0	0	0
Olfr493	0	0	0	3	0	0
